--- Debugging Physical Page 611 ---
Text: '                                                                                                                            ' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Kosher' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Page: 612' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Shekinah Publications : Kosher' | Colors: [0] | Sizes: [9.956937789916992]
Text: '          ' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'Recherche : ' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'Date : 11/03/2026                   Heure : 11:24:47' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'quel moment Il jetterait cette croix et se retournerait, et frapperait le pied au sol, et la' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'terre tremblerait d’un bout à l’autre, et qu’Il proclamerait qui Il était. Mais Il est mort' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'là, comme un pauvre malfaiteur vaincu, pendu sur la croix.' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Il est mort sous la disgrâce. Vous Le voyez sur l’image bien sûr avec un vêtement' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'autour de Lui, ce n’est pas vrai. On Lui a ôté tous les vêtements, simplement…' | Colors: [0] | Sizes: [11.996455192565918]
Text: '?…et on L’a déshonoré au possible aux yeux du monde, on L’a cloué sur la croix. Et' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'là, on dirait qu’Il était sans secours. Il se tenait là, la terre ne voulait pas de Lui, les' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'cieux ne pouvaient pas Le recevoir, Il était devenu un pécheur. Oh ! la la ! Si' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'seulement vous pouviez vous rendre compte! Pensez-y simplement, la terre n’a pas' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'reconnu son Créateur. Le Ciel ne pouvait pas Le recevoir, puisqu’Il portait sur Lui le' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'péché du monde. On n’avait même pas de place… vous parlez de place où naître, Il' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'n’a pas eu de place où mourir. C’est vrai. La terre ne voulait pas de Lui. On L’a' | Colors: [0] | Sizes: [11.996455192565918]
