--- Debugging Physical Page 2038 ---
Text: '                                                                                                                          ' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Kosher' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Page: 2039' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Shekinah Publications : Kosher' | Colors: [0] | Sizes: [9.956937789916992]
Text: '          ' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'Recherche : ' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'Date : 11/03/2026                   Heure : 11:28:37' | Colors: [0] | Sizes: [9.956937789916992]
Text: 'expérience... Maintenant il eut une merveilleuse expérience. Maintenant je crois que' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'quand vous acceptez Christ vraiment comme votre Sauveur personnel, c’est une' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'expérience. Je crois que la joie de savoir que vos péchés sont pardonnés fait' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'continuellement frémir votre coeur!' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'HEBREUX CHAPITRE 2, 3     JEFFERSONVILLE IN USA    Mer 28.08.57' | Colors: [255] | Sizes: [9.956937789916992]
Text: '  ' | Colors: [0] | Sizes: [11.996455192565918]
Text: '244. Mais alors, quand le Saint-Esprit béni descend, c’est une expérience–cette' | Colors: [0, 0, 0] | Sizes: [11.996455192565918, 11.996455192565918, 11.996455192565918]
Text: 'nouvelle naissance–que vous n’oublierez jamais! Vous devenez un enfant de Dieu.' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Et voici ce qui le fait... «Comment savez-vous cela, Frère Branham?»' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'HEBREUX CHAPITRE 2, 3     JEFFERSONVILLE IN USA    Mer 28.08.57' | Colors: [255] | Sizes: [9.956937789916992]
Text: '  ' | Colors: [0] | Sizes: [11.996455192565918]
Text: '245. Maintenant, ça, ce sont des leçons d’enseignement. Beaucoup de gens... Les' | Colors: [0, 0, 0] | Sizes: [11.996455192565918, 11.996455192565918, 11.996455192565918]
